16384
0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
14, 0
15, 0
16, 0
17, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
39, 0
40, 0
42, 0
44, 0
45, 0
46, 0
48, 0
49, 0
52, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
64, 0
68, 0
73, 0
74, 0
81, 0
86, 0
88, 0
91, 0
92, 0
98, 0
118, 1
127, 0
24, 1
26, 1
27, 1
28, 1
29, 1
30, 1
31, 1
32, 1
33, 1
34, 1
35, 1
36, 1
37, 1
38, 1
39, 1
40, 1
41, 1
42, 1
43, 1
46, 1
48, 1
49, 1
51, 1
52, 1
52, 2
53, 1
54, 1
54, 2
56, 1
56, 2
57, 1
58, 1
60, 1
61, 1
61, 2
62, 2
64, 1
64, 2
66, 1
71, 2
74, 2
75, 3
76, 1
76, 2
77, 1
77, 3
78, 2
80, 3
91, 1
94, 1
98, 3
100, 4
102, 1
102, 3
103, 3
107, 2
107, 4
114, 1
115, 1
117, 1
121, 5
123, 4
124, 2
126, 2
16, 1
17, 1
18, 1
19, 1
20, 1
22, 1
23, 1
33, 2
35, 2
36, 2
38, 2
40, 2
41, 2
42, 2
44, 2
45, 2
46, 2
47, 2
48, 2
49, 3
50, 3
52, 3
58, 3
59, 3
60, 3
61, 3
62, 3
64, 3
65, 4
66, 3
66, 4
67, 3
67, 4
68, 3
68, 4
69, 3
70, 4
71, 4
72, 3
72, 4
73, 4
75, 4
76, 4
77, 4
79, 4
81, 4
82, 4
84, 4
87, 5
89, 5
93, 4
93, 5
97, 5
98, 6
102, 5
102, 6
108, 5
111, 6
114, 6
116, 7
117, 6
119, 7
120, 7
126, 6
12, 1
13, 1
14, 1
15, 1
23, 2
24, 2
25, 2
26, 2
27, 2
28, 2
29, 2
30, 2
32, 2
34, 3
35, 3
36, 3
38, 3
40, 3
42, 3
43, 3
45, 3
45, 4
46, 3
46, 4
47, 3
47, 4
48, 3
48, 4
51, 4
53, 4
54, 4
56, 4
57, 4
60, 5
64, 4
64, 5
66, 5
69, 6
72, 5
74, 5
76, 6
77, 6
78, 5
80, 6
81, 7
82, 6
84, 6
84, 7
85, 6
86, 6
89, 7
92, 8
99, 8
105, 7
109, 7
111, 9
117, 10
122, 8
122, 10
124, 9
124, 10
125, 8
126, 10
127, 10
9, 1
10, 1
11, 1
18, 2
19, 2
20, 2
21, 2
22, 2
27, 3
30, 3
31, 3
32, 3
33, 3
36, 4
37, 4
38, 4
41, 4
42, 4
43, 4
47, 5
48, 5
49, 5
51, 5
52, 5
53, 5
53, 6
54, 6
55, 5
56, 5
56, 6
58, 6
60, 6
62, 6
63, 7
64, 7
66, 7
67, 6
68, 7
69, 7
70, 7
71, 7
73, 8
74, 7
74, 8
75, 8
76, 7
77, 7
84, 8
84, 9
88, 10
90, 8
90, 9
91, 10
94, 10
96, 10
97, 11
98, 10
100, 9
102, 11
117, 13
118, 13
119, 12
120, 12
125, 14
8, 1
15, 2
16, 2
17, 2
22, 3
23, 3
24, 3
25, 3
26, 3
29, 4
30, 4
31, 4
32, 4
33, 4
35, 4
36, 5
37, 5
38, 5
40, 5
43, 5
43, 6
44, 6
46, 6
48, 6
49, 6
50, 6
51, 7
53, 7
54, 7
55, 7
58, 7
60, 7
61, 7
62, 8
63, 8
64, 8
65, 8
67, 8
68, 8
69, 9
75, 9
76, 9
77, 9
81, 11
83, 11
85, 10
86, 10
91, 11
94, 11
96, 13
97, 12
101, 12
103, 13
105, 13
109, 15
110, 14
113, 13
114, 13
115, 15
116, 16
117, 16
122, 14
122, 17
126, 15
7, 1
13, 2
14, 2
20, 3
21, 3
25, 4
26, 4
27, 4
31, 5
32, 5
33, 5
34, 5
35, 5
38, 6
39, 6
40, 6
42, 6
44, 7
46, 7
47, 7
48, 7
49, 7
50, 7
50, 8
52, 8
53, 8
55, 8
56, 8
56, 9
57, 8
57, 9
58, 9
59, 9
60, 9
62, 9
67, 10
68, 10
69, 11
70, 11
71, 10
74, 11
75, 11
