10560
0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
21, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
34, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
43, 0
44, 0
45, 0
46, 0
48, 0
49, 0
50, 0
52, 0
53, 0
58, 0
59, 0
60, 0
61, 0
61, 1
64, 1
65, 0
66, 0
67, 0
67, 1
68, 0
69, 1
70, 0
70, 1
71, 0
73, 0
76, 0
82, 1
89, 0
17, 1
18, 1
19, 1
20, 1
21, 1
22, 1
23, 1
24, 1
25, 1
26, 1
27, 1
28, 1
30, 1
31, 1
33, 1
33, 2
35, 1
35, 2
36, 1
36, 2
37, 1
37, 2
38, 1
38, 2
39, 1
39, 2
40, 1
40, 2
42, 1
43, 1
43, 2
44, 2
45, 1
45, 2
46, 2
47, 2
48, 2
49, 1
53, 1
53, 3
54, 2
56, 2
57, 1
57, 2
58, 2
59, 1
59, 3
60, 1
62, 2
62, 3
63, 3
66, 3
67, 4
71, 2
72, 2
73, 3
74, 3
77, 4
79, 2
84, 5
88, 5
90, 5
91, 2
92, 5
10, 1
11, 1
12, 1
13, 1
14, 1
15, 1
16, 1
20, 2
21, 2
22, 2
23, 2
24, 2
25, 2
26, 2
27, 2
28, 2
29, 2
29, 3
30, 2
30, 3
31, 3
32, 2
32, 3
34, 3
37, 3
39, 3
39, 4
40, 3
40, 4
42, 3
42, 4
44, 4
45, 3
45, 4
49, 3
49, 4
49, 5
50, 4
50, 5
51, 4
52, 4
54, 4
57, 5
58, 4
59, 6
60, 5
61, 4
62, 4
65, 5
65, 6
66, 6
67, 6
69, 7
74, 7
75, 5
77, 5
78, 6
78, 7
80, 7
82, 6
90, 7
90, 9
92, 9
94, 7
7, 1
8, 1
9, 1
14, 2
15, 2
16, 2
17, 2
18, 2
19, 2
21, 3
22, 3
23, 3
24, 3
25, 3
26, 3
27, 3
28, 4
29, 4
30, 4
31, 4
32, 4
33, 4
34, 4
35, 4
36, 4
36, 5
37, 5
38, 4
38, 5
40, 5
43, 5
43, 6
45, 5
45, 6
46, 5
48, 6
50, 6
50, 7
55, 6
56, 7
57, 8
60, 8
63, 9
64, 7
64, 8
65, 7
66, 7
66, 8
66, 9
68, 8
69, 9
70, 8
71, 8
73, 8
77, 8
78, 10
79, 9
79, 10
80, 10
83, 10
87, 9
88, 11
88, 12
93, 13
6, 1
11, 2
12, 2
13, 2
17, 3
18, 3
19, 3
20, 3
22, 4
23, 4
24, 4
25, 4
26, 4
27, 4
28, 5
29, 5
30, 5
31, 5
33, 5
33, 6
34, 5
34, 6
36, 6
38, 6
39, 6
39, 7
40, 6
40, 7
41, 6
41, 7
42, 7
43, 7
44, 8
46, 7
47, 7
50, 9
51, 8
52, 8
52, 9
53, 9
54, 8
55, 8
56, 9
57, 9
57, 10
58, 10
59, 9
59, 10
62, 9
62, 11
67, 12
69, 11
71, 12
72, 13
73, 12
77, 11
79, 12
81, 14
82, 13
84, 13
84, 14
86, 14
90, 14
92, 14
5, 1
9, 2
10, 2
14, 3
15, 3
16, 3
18, 4
19, 4
20, 4
21, 4
22, 5
23, 5
24, 5
25, 5
27, 5
27, 6
28, 6
30, 6
31, 6
31, 7
32, 6
32, 7
33, 7
34, 7
35, 7
36, 7
36, 8
37, 7
42, 8
42, 9
43, 9
44, 9
44, 10
45, 10
46, 10
47, 9
47, 10
49, 11
52, 10
52, 11
53, 10
53, 11
54, 11
54, 12
55, 12
57, 12
60, 11
63, 14
65, 13
67, 14
68, 15
69, 15
73, 15
76, 17
77, 14
78, 17
80, 16
82, 15
84, 17
85, 16
87, 19
91, 17
91, 20
92, 19
4, 1
8, 2
12, 3
13, 3
15, 4
16, 4
17, 4
19, 5
20, 5
21, 5
23, 6
24, 6
25, 6
26, 6
27, 7
29, 7
30, 7
30, 8
31, 8
33, 8
34, 9
35, 8
36, 9
37, 9
39, 10
40, 10
42, 10
42, 11
43, 10
43, 11
44, 11
45, 11
45, 12
46, 12
47, 11
47, 12
55, 14
56, 14
57, 13
57, 14
58, 15
59, 15
